公告,#genre#
更新日期,https://liuliuliu.tv/api/channels/1997/stream
2024-09-18,https://liuliuliu.tv/api/channels/233/stream
广东频道,#genre#
广东卫视高清,http://43.136.119.99/zb0.php?id=239.77.1.19:5146 
广东卫视高清,http://43.136.119.99/zb0.php?id=239.77.1.152:5146 
广东卫视高清,http://43.136.119.99/zb0.php?id=239.77.0.84:5146 
广东卫视高清,http://lzjzyh.xyz:8888/rtp/239.20.0.101:2000 
广东卫视高清,http://mryx.fun:1025/udp/239.10.0.111:1025 
广东卫视高清,http://mryx.fun:1025/udp/239.10.0.141:1025 
广东卫视高清,http://183.30.200.251:10250/udp/239.0.1.1:5001 
广东卫视高清,http://183.30.200.162:10250/udp/239.0.1.1:5001 
广东卫视高清,http://27.42.215.230:2222/udp/239.0.1.1:5001 
广东卫视高清,http://113.65.95.163:10000/udp/239.77.1.19:5146 
广东卫视高清,http://113.65.95.163:10000/udp/239.77.1.152:5146 
广东卫视高清,http://113.65.95.163:10000/udp/239.77.0.84:5146 
广东卫视高清,http://183.17.238.99:8888/udp/239.77.1.19:5146 
广东卫视高清,http://183.17.238.99:8888/udp/239.77.1.152:5146 
广东卫视高清,http://183.17.238.99:8888/udp/239.77.0.84:5146 
广东卫视高清,http:///udp/239.10.0.111:1025 
广东卫视高清,http:///udp/239.10.0.141:1025 
广东卫视高清,http://120.234.49.38:7000/udp/239.20.0.101:2000 
广东卫视高清,http://120.234.5.29:6000/udp/239.20.0.101:2000 
广东卫视高清,http://120.234.49.37:7000/udp/239.20.0.101:2000 
广东珠江高清,http://43.136.119.99/zb0.php?id=239.77.0.1:5146 
广东珠江高清,http://lzjzyh.xyz:8888/rtp/239.20.0.64:3144 
广东珠江高清,http://mryx.fun:1025/udp/239.10.0.62:1025 
广东珠江高清,http://183.30.200.251:10250/udp/239.0.1.133:5172 
广东珠江高清,http://183.30.200.162:10250/udp/239.0.1.133:5172 
广东珠江高清,http://27.42.215.230:2222/udp/239.0.1.133:5172 
广东珠江高清,http://113.65.95.163:10000/udp/239.77.0.1:5146 
广东珠江高清,http://183.17.238.99:8888/udp/239.77.0.1:5146 
广东珠江高清,http:///udp/239.10.0.62:1025 
